station_id,log_pm10,pm10,direct_local,indirect_neighbor,endogenous_spillover,predicted_log_pm10,residual,pct_direct,pct_indirect,pct_endogenous
402201,3.069239170799397,22.575902346445826,-0.012575185348235408,0.07977719140719212,-0.06720200605895685,-1.349645033413886e-16,1.189459159186991e-15,9317402010828624.0,-5.91097580712746e+16,4.979235606044607e+16
402203,2.2781364603068575,10.107018633540374,0.02556971820406478,0.10835492030082221,-0.1339246385048868,1.733878741066766e-16,-5.294315710473355e-16,1.4747120198459238e+16,6.2492790144111816e+16,-7.723991034257094e+16
402204,2.9417287823167313,19.66073553010851,0.05767340679457931,0.11201341155715375,-0.16968681835173283,2.4101493747623507e-16,-1.4567815552902135e-15,2.392939101555318e+16,4.6475713385274584e+16,-7.040510440082766e+16
402206,2.903889005738775,18.508967917586357,0.04237439718094194,0.11667337835023484,-0.15904777553117666,1.0363690582044396e-16,-1.0643659866515088e-16,4.088736232086827e+16,1.1257898663279006e+17,-1.5346634895365824e+17
402209,2.9699756667521786,19.7027104899931,0.007316802588753099,0.12860159248212638,-0.1359183950708795,-1.3322676295501878e-17,7.846380550122573e-16,-5.491991568708656e+16,-9.65283473302928e+17,1.0202033889900146e+18
402211,3.098733148336857,23.006873706004143,0.007316802588753099,0.11155676201427829,-0.11887356460303189,-5.149504011609204e-16,9.354835746624146e-16,-1420875209002239.8,-2.1663593573824044e+16,2.308446878282638e+16
402212,2.846063201632496,17.282385540641293,-0.04587355362423852,0.07992332434871137,-0.03404977072447293,-8.128763362907668e-17,9.041077065751819e-17,5.643361920653758e+16,-9.832162751029168e+16,4.188800830375421e+16
402213,2.901201639341857,18.590655300844027,0.02808814904777316,0.12275636868380463,-0.15084451773157787,-8.061184570104398e-17,5.758678558164398e-17,-3.4843699215051468e+16,-1.5228080639544874e+17,1.871245056105003e+17
502604,3.113542762644114,24.064248512068495,0.10234151677541739,-0.06988909372139751,-0.03245242305402,-1.172009349473861e-16,-8.061184570104398e-17,-8.732141669463694e+16,5.963185682159631e+16,2.7689559873040736e+16
502608,3.303264497639628,31.23660562168193,0.08609927576943556,-0.05192329404392098,-0.03417598172551488,-3.008221691071294e-16,4.5663955708495567e-17,-2.8621320039339824e+16,1.7260461287821494e+16,1.136085875151843e+16
502609,3.2123229430024014,27.49789538418078,0.11033514828363618,-0.06068318289587184,-0.0496519653877645,-1.6798157068241498e-16,-1.4459568808001182e-15,-6.56828888046506e+16,3.612490504127927e+16,2.955798376337142e+16
502612,3.397688784787887,33.5146010174568,0.07274176375034778,-0.05390199481709433,-0.018839768933253634,-1.855520568112653e-16,-8.362392903741831e-16,-3.9202887319291336e+16,2.9049526986338324e+16,1.0153360332953112e+16
502701,3.2870832293083048,30.394882653753992,0.08536411581584538,-0.048044672863530584,-0.03731944295231478,1.525349894702389e-17,-1.7747156401464567e-15,5.596362913998874e+17,-3.149747676280174e+17,-2.4466152377186986e+17
502720,3.4157557830904457,34.574821119639026,0.06966082753262763,-0.046019929918819175,-0.023640897613808762,-2.946435366222589e-16,1.0775921218144345e-15,-2.364240815570128e+16,1.5618849286966706e+16,8023558868734677.0
AB2,2.819724120394989,16.919520592136408,-0.08557867677335365,0.07344463711973333,0.012134039653620032,-2.865340814858665e-16,-1.2878587085651815e-15,2.9866840387563068e+16,-2.563207725198862e+16,-4234763135574346.0
ARPAL_001,3.350609303536696,30.57589459693671,0.06256651976391515,0.013473233537403803,-0.07603975330131935,-3.8346137859227147e-16,1.4740865533044796e-15,-1.6316250672650182e+16,-3513582928968104.5,1.9829833601618388e+16
ARPAL_002,3.3627073538328736,30.881695539645374,0.052794414360163265,-0.04577910171570418,-0.007015312644459081,4.730515496228928e-18,-1.0159988792308825e-15,1.1160393492474534e+18,-9.677402336425778e+17,-1.4829911560487536e+17
ARPAL_005,3.1964935220482356,26.36485331680084,0.0340606709476241,-0.010728757674981229,-0.023331913272643126,-2.533239318796879e-16,-5.629313440512424e-16,-1.3445500665843394e+16,4235193096590921.0,9210307569252574.0
ARPAL_007,3.305421810234625,30.073648903973954,0.013019554998408997,-0.002079104761667449,-0.01094045023674173,-1.8226965830367787e-16,-7.325541139874511e-16,-7143018272803931.0,1140675184787734.2,6002343088016296.0
ARPAL_008,3.311457478868998,29.327813285367935,0.00468355053649239,0.0020528953526057253,-0.006736445889098367,-2.525516028190791e-16,-3.3777328760063184e-16,-1854492501418632.8,-812861739814956.6,2667354241233689.0
ARPAL_011,3.3628125970930878,31.69862098904416,-0.013361495997141723,0.0072853455246239636,0.0060761504725175535,-2.0978388108786655e-16,6.905587213168473e-16,6369171896264685.0,-3472786129632403.0,-2896385766632184.5
ARPAL_012,3.335032739814979,30.63723594516918,-0.013361495997141723,0.0072853455246239636,0.0060761504725177955,3.736141830695092e-17,-1.3666362727472796e-15,-3.5762817908483624e+16,1.9499649249848092e+16,1.6263168658635628e+16
ARPAL_017,3.2917531662767323,28.759242332480973,0.013019554998408997,0.01599996020023953,-0.029019515198648742,-2.1605905470531307e-16,1.0494021111022131e-16,-6025924262311805.0,-7405364344513203.0,1.3431288606825108e+16
ARPAL_019,3.346376255288239,30.920738057530652,-0.007205124741009372,-0.08338639725541558,0.0905915219964248,-1.6605074803089298e-16,-1.8303233325102906e-15,4339110077160804.0,5.021741741259842e+16,-5.455652748975913e+16
ARPAL_020,3.4939135079586117,34.91351678867141,-0.010750342765803212,-0.10265021126265411,0.11340055402845649,-8.366254549044876e-16,1.4206027658573199e-16,1284964819416176.2,1.2269553915780994e+16,-1.355451873519707e+16
ARPAL_022,3.3039749281682265,29.032935976193468,-0.0365385549795121,-0.09045099342016354,0.12698954839967513,-4.830918274108072e-16,-3.3295829861339883e-16,7563480254953842.0,1.8723354088796588e+16,-2.628683434375033e+16
ARPAL_023,3.2400609290331612,27.40786552114446,0.03590285495284353,-0.006590301955688828,-0.029312552997155347,-6.382334274606008e-16,7.493522710556926e-16,-5625348564974666.0,1032584893259239.0,4592763671715527.0
ARPAL_026,3.048125669561486,23.098436417867283,0.031453127119211055,-0.04100592321056502,0.00955279609135347,-4.955456335131242e-16,9.64783808399261e-16,-6347170672502362.0,8274903548207534.0,-1927732875705072.8
ARPAL_027,3.383746675704745,32.149324144642435,-0.007205124741009372,-0.08338639725541558,0.09059152199642448,-4.747892900092626e-16,6.660855442088059e-16,1517541547929358.0,1.7562821868578544e+16,-1.9080363416507804e+16
ARPAL_028,3.2081572065185298,26.822212388400988,-0.025131272037161183,-0.09232280048184711,0.1174540725190078,-4.900427889562865e-16,-2.3391916423189167e-16,5128383195003606.0,1.883974268420112e+16,-2.3968125879204624e+16
BR1,2.6398996625345474,14.477962549403282,-0.11364023080586481,0.07138864137824058,0.04225158942762358,-6.578312773735493e-16,9.387659731700019e-16,1.7274981399422612e+16,-1.0852120267565594e+16,-6422861131856920.0
BX1,2.717881178207384,15.49530345018019,-0.13045708785508486,0.0730558205136642,0.05740126734142014,-5.286592419867267e-16,-7.411945453530121e-16,2.4676971004010236e+16,-1.3819075637288954e+16,-1.0857895366721186e+16
BZ4,2.9440428310958753,19.229030674641,-0.10511101208409952,0.09146689216036488,0.013644119923734177,-4.567360982175318e-16,-1.3009883025955312e-15,2.301351097369094e+16,-2.0026201676925812e+16,-2987309296765028.0
BZ5,2.817792146037308,16.81389204145472,-0.10511101208409952,0.09146689216036488,0.013644119923734049,-5.804052890475166e-16,-2.598887288948627e-16,1.810993353568394e+16,-1.5759141738778446e+16,-2350791796905392.0
LA1,2.7933993825294143,17.18692931677451,-0.02450110880500148,0.09307896583853396,-0.06857785703353299,-4.918770704752324e-16,7.196176022222536e-16,4981144736291420.0,-1.892321708523731e+16,1.3942072348945996e+16
LS1,2.8833828942493223,18.200755905363646,-0.10888267185034231,0.12730521847257892,-0.018422546622236732,-1.4123967695883512e-16,-9.702383823898107e-17,7.709071147343152e+16,-9.013417561814626e+16,1.3043464144714844e+16
ME1,2.8213130829795854,17.20281654897109,-0.09709822152016176,0.08542560484463572,0.011672616675525526,-4.987314908881355e-16,9.87712327386085e-16,1.9469037607240384e+16,-1.7128576479602432e+16,-2340461127637851.5
