Station,Actual_PM10,Fitted_PM10,Local_Effect,Neighbor_Context,Spatial_Spillover,Residual,Spillover_Pct,Local_Pct
Borgo Valsugana,10.118762444001991,21.091258127412587,4.656685037467595,16.07018971853388,16.565928555732828,-10.972495683410596,78.54405107394648,98.2723488129069
Monte Gaza,22.56352663016426,19.860993396711372,4.453247508757311,16.072697634236242,15.33438869240691,2.7025332334528898,77.20856850466508,103.3480286358299
Parco S. Chiara,19.65855268177039,20.26189178983687,4.523712718121015,16.049599278084873,15.747031287093023,-0.6033391080664785,77.71747796516982,101.53697497548191
Piana Rotaliana,22.976636386261823,21.025394862514254,4.496341293576485,16.05606366116951,16.50724758830436,1.9512415237475693,78.51099918097042,97.7503875153777
Riva del Garda,18.593587212352055,20.427007413393632,4.440669349607065,16.076820729908626,15.898306349230797,-1.8334202010415765,77.82983590051744,100.44295605465305
Rovereto,19.694131616061057,20.25778963607395,4.518002373042407,16.05147111789865,15.741977409150337,-0.5636580200128947,77.70826774268548,101.53858767647618
"A22_sud,_Termeno,_c/o_Maso_Binnenland",16.911314251151524,20.709344622451553,4.524217454012195,16.04814316686497,16.19522446952088,-3.7980303713000296,78.20249633570347,99.33854014179725
"Brunico_1,_c/o_parcheggio_di_via_Goethe",14.466396171454397,19.276741948964705,4.735486071641757,16.093553085012946,14.739533433031655,-4.8103457775103085,76.46278334821652,108.05269485787439
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",15.47591546327021,19.15019606809763,4.634366735699556,16.12669980318031,14.596134329507546,-3.6742806048274215,76.21924223440871,108.41177012002395
Bolzano_4-Via_C.Augusta,19.19076167493143,19.807069748927,4.541005489726782,16.078912249922695,15.277305265685662,-0.6163080739955689,77.13056731429582,104.10382757786023
Bolzano_5-P.zza_Adriano,16.81171158126479,20.14536553686698,4.538851155891022,16.07961843628979,15.615241997986349,-3.3336539556021876,77.51282531662041,102.34845108393802
"Laces_1-Via_Stazione,_parcheggio_fs",17.135759277699147,20.319191994488687,4.325354202471621,16.04830861829103,15.804987718909484,-3.1834327167895395,77.78354436139182,100.26807574970866
"Laives_1,_c/o_campi_sportivi_zona_Galizia",18.191539327797084,19.19047674540577,4.548698101599664,16.083706522120398,14.658274647181914,-0.9989374176086869,76.38306667233333,107.51376788312199
"Merano_1,_Via_Trogman",17.18400439650677,20.293879264713084,4.436112158669067,16.012002379482578,15.798134648500119,-3.1098748682063153,77.84679529443072,100.76000882545281
Bergamo-via_Garibaldi_PM10,30.57836668873493,27.428313034491428,4.015578526726517,15.041266164527064,23.42613262241134,3.1500536542435036,85.40857978743608,69.47873413610736
Brescia-Broletto_PM10,30.879925918171107,29.22380425379308,4.257373479832454,15.292108661485383,25.094084685898544,1.656121664378027,85.86864484845937,66.8957469449941
Calusco_d'Adda_PM10,26.346959709871154,29.04929096097969,3.9385980397194658,14.962854240313243,25.086978556678517,-2.702331251108536,86.3600374631397,65.06682832783073
Filago-via_Don_Milani_PM10,30.03736435912578,28.518146219663087,3.980202859863473,14.949216262622157,24.56276795205258,1.5192181394626942,86.13031072516453,66.3767517589692
Lallio_PM10,29.310697351570017,27.61025144972344,4.00435916559119,15.044943848899743,23.6062011441208,1.700445901846578,85.49795784042834,68.99358757807235
Mantova-p.zza_Gramsci_PM10,31.642488712954883,25.675784997429854,4.552433029553882,15.840019660291095,21.267483821169566,5.966703715525028,82.83090010022455,79.42289862563602
Mantova-S.Agnese_PM10,30.58247619408679,25.82656023855211,4.551210647498884,15.840420354709154,21.418055331949322,4.755915955534682,82.93034432040983,78.95604685198772
Osio_Sotto_PM10,28.743735621532917,27.691902725250568,3.997662508863539,15.04713899971978,23.686736310193318,1.0518328962823489,85.53668754799871,68.77390007302576
Parona_PM10,30.884108419683937,28.326946975660512,3.7390211382212613,14.78062670303212,24.45728691915845,2.557161444023425,86.33929713700877,65.3781992714079
Pavia-p.zza_Minerva_PM10,34.86872453530546,28.740932267810077,3.913115165143034,14.761992248758258,24.88074677242094,6.1277922674953835,86.56903172305043,64.97738918099557
Sannazzaro_de'_Burgondi-AGIP_PM10,28.98211145074549,29.590117867006036,3.835053027800299,14.787580862863878,25.716922015393113,-0.6080064162605474,86.91050887657441,62.93531500741006
Sarezzo-via_Minelli_PM10,27.407896554731703,28.000265345716397,4.22930369882358,15.265074661494356,23.884291030635687,-0.5923687909846933,85.30023103616628,69.62212007501662
Valmadrera_PM10,23.07162157902611,29.527149619472553,3.8629561996192665,14.987649485773469,25.55223024182135,-6.455528040446442,86.53808637515819,63.84160316294515
Vigevano-via_Valletta_PM10,32.10766722316201,28.147946797483947,3.770205669051693,14.770404475552217,24.283484162786955,3.9597204256780643,86.27088980059312,65.86842826582718
Voghera-via_Pozzoni_PM10,26.800442164141675,29.88952072911694,3.8980322376785894,14.766936402526126,26.026821412483727,-3.0890785649752637,87.07674388077305,62.446530372172205
Conegliano,24.04283750483052,28.724710006438002,5.021606818179739,17.003831251106376,23.724676768746704,-4.681872501607483,82.59326817722214,76.67766903251454
TV_Lancieri,31.174822877479894,27.709172010637,5.036375567434471,16.998990084333773,22.71160023115483,3.4656508668428927,81.96419662931933,79.52372464723705
Mansue,27.457446982798206,28.221100524551588,5.133055205341195,16.96729869039455,23.239642018053875,-0.7636535417533814,82.34846120843522,78.31145307926258
TV_S_Agnese,33.46972866841913,27.382797705551155,5.038715637093521,16.998223014131444,22.38561593767883,6.086930962867974,81.75065301359153,80.47730874028824
Bissuola,30.3309274689519,27.82336539741166,5.070451695453253,16.987819997019127,22.831472972599283,2.5075620715402387,82.0586318243272,79.27966792444313
VE_Tagliamento,34.46831587879331,27.236584696119948,5.064916283357711,16.98963449414731,22.243769702624984,7.231731182673364,81.66871856658949,80.97399517439077
